Order ID-1,Order Date,Customer Name,City,Country,Region,Segment,Ship Date,Ship Mode,State,Order ID,Product Name,Discount,Sales,Profit,Quantity,Category,Sub-Category
BN-2011-7407039,1/1/2011,Ruby Patel,Stockholm,Sweden,North,Home Office,1/5/2011,Economy Plus,Stockholm,BN-2011-7407039,"Enermax Note Cards, Premium",0.5,45,-26,3,Office Supplies,Paper
AZ-2011-9050313,1/3/2011,Summer Hayward,Southport,United Kingdom,North,Consumer,1/7/2011,Economy,England,AZ-2011-9050313,"Dania Corner Shelving, Traditional",0,854,290,7,Furniture,Bookcases
AZ-2011-6674300,1/4/2011,Devin Huddleston,Valence,France,Central,Consumer,1/8/2011,Economy,Auvergne-Rhône-Alpes,AZ-2011-6674300,"Binney & Smith Sketch Pad, Easy-Erase",0,140,21,3,Office Supplies,Art
BN-2011-2819714,1/4/2011,Mary Parker,Birmingham,United Kingdom,North,Corporate,1/9/2011,Economy,England,BN-2011-2819714,"Boston Markers, Easy-Erase",0.5,27,-22,2,Office Supplies,Art
BN-2011-2819714,1/4/2011,Mary Parker,Birmingham,United Kingdom,North,Corporate,1/9/2011,Economy,England,BN-2011-2819714,"Eldon Folders, Single Width",0.5,17,-1,2,Office Supplies,Storage
AZ-2011-617423,1/5/2011,Daniel Burke,Echirolles,France,Central,Home Office,1/7/2011,Priority,Auvergne-Rhône-Alpes,AZ-2011-617423,"Binney & Smith Pencil Sharpener, Water Color",0,90,21,3,Office Supplies,Art
AZ-2011-617423,1/5/2011,Daniel Burke,Echirolles,France,Central,Home Office,1/7/2011,Priority,Auvergne-Rhône-Alpes,AZ-2011-617423,"Sanford Canvas, Fluorescent",0,207,77,4,Office Supplies,Art
AZ-2011-2918397,1/7/2011,Fredrick Beveridge,La Seyne-sur-Mer,France,Central,Corporate,1/8/2011,Priority,Provence-Alpes-Côte d'Azur,AZ-2011-2918397,"Bush Floating Shelf Set, Pine",0.1,155,36,1,Furniture,Bookcases
AZ-2011-2918397,1/7/2011,Fredrick Beveridge,La Seyne-sur-Mer,France,Central,Corporate,1/8/2011,Priority,Provence-Alpes-Côte d'Azur,AZ-2011-2918397,"Accos Thumb Tacks, Assorted Sizes",0,33,2,3,Office Supplies,Fasteners
AZ-2011-2918397,1/7/2011,Fredrick Beveridge,La Seyne-sur-Mer,France,Central,Corporate,1/8/2011,Priority,Provence-Alpes-Côte d'Azur,AZ-2011-2918397,"Smead Lockers, Industrial",0.1,716,143,4,Office Supplies,Storage
BN-2011-3248724,1/8/2011,Archer Hort,Toulouse,France,Central,Consumer,1/14/2011,Economy,Languedoc-Roussillon-Midi-Pyrénées,BN-2011-3248724,"Ikea Classic Bookcase, Metal",0.6,987,-1012,6,Furniture,Bookcases
BN-2011-3248724,1/8/2011,Archer Hort,Toulouse,France,Central,Consumer,1/14/2011,Economy,Languedoc-Roussillon-Midi-Pyrénées,BN-2011-3248724,"Binney & Smith Sketch Pad, Blue",0.5,116,-56,5,Office Supplies,Art
AZ-2011-7053593,1/11/2011,Gracie Powell,Woking,United Kingdom,North,Consumer,1/11/2011,Immediate,England,AZ-2011-7053593,"SAFCO Executive Leather Armchair, Red",0,1384,14,3,Furniture,Chairs
AZ-2011-7053593,1/11/2011,Gracie Powell,Woking,United Kingdom,North,Consumer,1/11/2011,Immediate,England,AZ-2011-7053593,"Binney & Smith Canvas, Blue",0,103,20,2,Office Supplies,Art
AZ-2011-6439906,1/11/2011,Summer Hayward,Murcia,Spain,South,Consumer,1/15/2011,Economy,Murcia,AZ-2011-6439906,"Bevis Training Table, with Bottom Storage",0.6,268,-342,2,Furniture,Tables
AZ-2011-4827146,1/11/2011,Faith Greenwood,Vienna,Austria,Central,Consumer,1/15/2011,Economy,Vienna,AZ-2011-4827146,"Boston Canvas, Fluorescent",0,55,10,1,Office Supplies,Art
AZ-2011-4827146,1/11/2011,Faith Greenwood,Vienna,Austria,Central,Consumer,1/15/2011,Economy,Vienna,AZ-2011-4827146,"Smead Trays, Single Width",0,97,31,2,Office Supplies,Storage
AZ-2011-6439906,1/11/2011,Summer Hayward,Murcia,Spain,South,Consumer,1/15/2011,Economy,Murcia,AZ-2011-6439906,"Novimex File Folder Labels, Alphabetical",0,40,6,5,Office Supplies,Labels
AZ-2011-6712797,1/11/2011,Evie Flockhart,Genoa,Italy,South,Consumer,1/16/2011,Economy,Liguria,AZ-2011-6712797,"Ibico Hole Reinforcements, Recycled",0,22,7,3,Office Supplies,Binders
AZ-2011-2222024,1/12/2011,Viola Watson,Sheffield,United Kingdom,North,Consumer,1/15/2011,Priority,England,AZ-2011-2222024,"Green Bar Note Cards, Multicolor",0.5,34,-6,2,Office Supplies,Paper
AZ-2011-9927716,1/12/2011,Julia Martell,Leicester,United Kingdom,North,Home Office,1/17/2011,Economy,England,AZ-2011-9927716,"Hon Chairmat, Adjustable",0,290,70,5,Furniture,Chairs
AZ-2011-5702370,1/12/2011,Hershel Snyder,Lohne,Germany,Central,Corporate,1/19/2011,Economy,Lower Saxony,AZ-2011-5702370,"Ikea Stackable Bookrack, Traditional",0.1,552,165,5,Furniture,Bookcases
AZ-2011-5702370,1/12/2011,Hershel Snyder,Lohne,Germany,Central,Corporate,1/19/2011,Economy,Lower Saxony,AZ-2011-5702370,"Binney & Smith Canvas, Blue",0,257,49,5,Office Supplies,Art
